epoch,step,train_loss,val_ap,val_loss,val_roc
0,9,nan,,,
0,19,nan,,,
0,29,nan,,,
0,35,,0.09940463304519653,nan,0.5250852704048157
1,39,nan,,,
1,49,nan,,,
1,59,nan,,,
1,69,nan,,,
1,71,,0.09940463304519653,nan,0.5250852704048157
2,79,nan,,,
2,89,nan,,,
2,99,nan,,,
2,107,,0.09940463304519653,nan,0.5250852704048157
3,109,nan,,,
3,119,nan,,,
3,129,nan,,,
3,139,nan,,,
3,143,,0.09940463304519653,nan,0.5250852704048157
4,149,nan,,,
4,159,nan,,,
4,169,nan,,,
4,179,nan,,,
4,179,,0.09940463304519653,nan,0.5250852704048157
5,189,nan,,,
5,199,nan,,,
5,209,nan,,,
5,215,,0.09940463304519653,nan,0.5250852704048157
6,219,nan,,,
6,229,nan,,,
6,239,nan,,,
6,249,nan,,,
6,251,,0.09940463304519653,nan,0.5250852704048157
7,259,nan,,,
7,269,nan,,,
7,279,nan,,,
7,287,,0.09940463304519653,nan,0.5250852704048157
8,289,nan,,,
8,299,nan,,,
8,309,nan,,,
8,319,nan,,,
8,323,,0.09940463304519653,nan,0.5250852704048157
9,329,nan,,,
9,339,nan,,,
9,349,nan,,,
9,359,nan,,,
9,359,,0.09940463304519653,nan,0.5250852704048157
10,369,nan,,,
10,379,nan,,,
10,389,nan,,,
10,395,,0.09940463304519653,nan,0.5250852704048157
